City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Chatfield 	2,779	$666,960	$751,023	$84,063	12.60%	$270.25	$30.25
Chickamaw Beach 	114	$0	$0	$0	0.00%	$0.00	$0.00
Chisago City 	4,967	$0	$122,931	$122,931	0.00%	$24.75	$24.75
Chisholm 	4,976	$2,711,002	$3,058,095	$347,093	12.80%	$614.57	$69.75
Chokio 	400	$119,050	$125,027	$5,977	5.02%	$312.57	$14.94
Circle Pines 	4,918	$152,142	$314,429	$162,287	106.67%	$63.93	$33.00
Clara City 	1,360	$358,536	$396,080	$37,544	10.47%	$291.24	$27.61
Claremont 	548	$153,171	$158,316	$5,145	3.36%	$288.90	$9.39
Clarissa 	681	$157,119	$192,831	$35,712	22.73%	$283.16	$52.44
Clarkfield 	863	$344,785	$356,736	$11,951	3.47%	$413.37	$13.85
Clarks Grove 	706	$165,361	$194,228	$28,867	17.46%	$275.11	$40.89
Clear Lake 	545	$23,234	$43,155	$19,921	85.74%	$79.18	$36.55
Clearbrook 	518	$146,914	$161,597	$14,683	9.99%	$311.96	$28.35
Clearwater 	1,735	$209,623	$272,865	$63,242	30.17%	$157.27	$36.45
Clements 	153	$33,903	$35,504	$1,601	4.72%	$232.05	$10.46
Cleveland 	719	$124,558	$153,989	$29,431	23.63%	$214.17	$40.93
Climax 	267	$43,962	$53,856	$9,894	22.51%	$201.71	$37.06
Clinton 	449	$137,750	$149,109	$11,359	8.25%	$332.09	$25.30
Clitherall 	112	$16,870	$20,075	$3,205	19.00%	$179.24	$28.62
Clontarf 	164	$22,120	$23,664	$1,544	6.98%	$144.29	$9.41
Cloquet 	12,124	$1,968,020	$2,299,125	$331,105	16.82%	$189.63	$27.31
Coates 	161	$0	$0	$0	0.00%	$0.00	$0.00
Cobden 	36	$3,505	$3,505	$0	0.00%	$97.36	$0.00
Cohasset 	2,698	$0	$0	$0	0.00%	$0.00	$0.00
Cokato 	2,694	$435,043	$552,496	$117,453	27.00%	$205.08	$43.60
Cold Spring 	4,025	$456,875	$590,149	$133,274	29.17%	$146.62	$33.11
Coleraine 	1,970	$351,624	$390,665	$39,041	11.10%	$198.31	$19.82
Cologne 	1,519	$149,495	$193,125	$43,630	29.18%	$127.14	$28.72
Columbia Heights 	19,496	$895,180	$1,404,176	$508,996	56.86%	$72.02	$26.11
Columbus 	3,914	$0	$0	$0	0.00%	$0.00	$0.00
Comfrey 	382	$99,593	$105,802	$6,209	6.23%	$276.97	$16.25
Comstock 	93	$16,780	$16,780	$0	0.00%	$180.43	$0.00
Conger 	146	$19,961	$24,200	$4,239	21.24%	$165.75	$29.03
Cook 	574	$156,578	$160,937	$4,359	2.78%	$280.38	$7.59
Coon Rapids 	61,476	$0	$934,541	$934,541	0.00%	$15.20	$15.20
Corcoran 	5,379	$0	$7,058	$7,058	0.00%	$1.31	$1.31
Correll 	34	$8,253	$8,280	$27	0.33%	$243.53	$0.79
Cosmos 	473	$128,232	$141,232	$13,000	10.14%	$298.59	$27.48
Cottage Grove 	34,589	$0	$59,626	$59,626	0.00%	$1.72	$1.72
Cottonwood 	1,212	$259,768	$293,140	$33,372	12.85%	$241.86	$27.53
Courtland 	611	$61,726	$75,819	$14,093	22.83%	$124.09	$23.07
Cromwell 	234	$24,038	$26,305	$2,267	9.43%	$112.41	$9.69
Crookston 	7,891	$3,056,748	$3,516,134	$459,386	15.03%	$445.59	$58.22
Crosby 	2,386	$756,240	$814,742	$58,502	7.74%	$341.47	$24.52
Crosslake 	2,141	$0	$0	$0	0.00%	$0.00	$0.00
Crystal 	22,151	$1,455,066	$1,643,830	$188,764	12.97%	$74.21	$8.52
Currie 	233	$68,556	$69,999	$1,443	2.10%	$300.42	$6.19
Cuyuna 	332	$2,164	$7,755	$5,591	258.36%	$23.36	$16.84
Cyrus 	288	$75,669	$81,155	$5,486	7.25%	$281.79	$19.05
Dakota 	323	$34,858	$41,819	$6,961	19.97%	$129.47	$21.55
Dalton 	253	$47,177	$55,157	$7,980	16.92%	$218.01	$31.54
Danube 	505	$133,480	$147,647	$14,167	10.61%	$292.37	$28.05
Danvers 	97	$9,517	$9,517	$0	0.00%	$98.11	$0.00
Darfur 	108	$38,379	$38,379	$0	0.00%	$355.36	$0.00
Darwin 	350	$37,512	$46,517	$9,005	24.01%	$132.91	$25.73
Dassel 	1,469	$301,387	$359,724	$58,337	19.36%	$244.88	$39.71
Dawson 	1,540	$540,099	$575,229	$35,130	6.50%	$373.53	$22.81
Dayton 	4,671	$0	$21,623	$21,623	0.00%	$4.63	$4.63
Deephaven 	3,642	$0	$0	$0	0.00%	$0.00	$0.00
