City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Spring Park 	1,669	$0	$0	$0	0.00%	$0.00	$0.00
Spring Valley 	2,479	$797,702	$860,781	$63,079	7.91%	$347.23	$25.45
Springfield 	2,152	$875,030	$911,484	$36,454	4.17%	$423.55	$16.94
Squaw Lake 	107	$9,160	$10,726	$1,566	17.10%	$100.24	$14.64
St. Anthony  (Stearns County)	86	$7,166	$9,655	$2,489	34.73%	$112.27	$28.94
St. Augusta 	3,317	$10,963	$55,218	$44,255	403.68%	$16.65	$13.34
St. Charles 	3,735	$757,339	$860,985	$103,646	13.69%	$230.52	$27.75
St. Clair 	868	$182,675	$231,871	$49,196	26.93%	$267.13	$56.68
St. Cloud 	65,842	$10,081,386	$11,728,327	$1,646,941	16.34%	$178.13	$25.01
St. Francis 	7,218	$80,929	$313,466	$232,537	287.33%	$43.43	$32.22
St. Hilaire 	279	$68,008	$69,996	$1,988	2.92%	$250.88	$7.13
St. James 	4,605	$1,336,057	$1,568,166	$232,109	17.37%	$340.54	$50.40
St. Joseph 	6,534	$645,151	$873,172	$228,021	35.34%	$133.64	$34.90
St. Leo 	100	$16,916	$19,623	$2,707	16.00%	$196.23	$27.07
St. Martin 	308	$42,909	$46,122	$3,213	7.49%	$149.75	$10.43
St. Marys Point 	368	$0	$0	$0	0.00%	$0.00	$0.00
St. Michael 	16,399	$0	$239,141	$239,141	0.00%	$14.58	$14.58
St. Paul 	285,068	$50,320,488	$60,424,253	$10,103,765	20.08%	$211.96	$35.44
St. Paul Park 	5,279	$143,307	$452,209	$308,902	215.55%	$85.66	$58.52
St. Peter 	11,196	$2,616,126	$2,908,508	$292,382	11.18%	$259.78	$26.11
St. Rosa 	68	$0	$0	$0	0.00%	$0.00	$0.00
St. Stephen 	851	$105,818	$146,647	$40,829	38.58%	$172.32	$47.98
St. Vincent 	64	$21,076	$21,076	$0	0.00%	$329.31	$0.00
Stacy 	1,456	$235,912	$281,740	$45,828	19.43%	$193.50	$31.48
Staples 	2,981	$957,573	$1,121,514	$163,941	17.12%	$376.22	$55.00
Starbuck 	1,302	$316,109	$350,549	$34,440	10.89%	$269.24	$26.45
Steen 	180	$33,495	$37,681	$4,186	12.50%	$209.34	$23.26
Stephen 	658	$193,225	$219,587	$26,362	13.64%	$333.72	$40.06
Stewart 	571	$131,959	$153,701	$21,742	16.48%	$269.18	$38.08
Stewartville 	5,916	$599,307	$852,619	$253,312	42.27%	$144.12	$42.82
Stillwater 	18,225	$174,580	$568,591	$394,011	225.69%	$31.20	$21.62
Stockton 	697	$154,893	$175,913	$21,020	13.57%	$252.39	$30.16
Storden 	219	$68,812	$68,812	$0	0.00%	$314.21	$0.00
Strandquist 	69	$17,869	$18,785	$916	5.13%	$272.25	$13.28
Strathcona 	44	$3,915	$5,897	$1,982	50.63%	$134.02	$45.05
Sturgeon Lake 	439	$28,838	$47,794	$18,956	65.73%	$108.87	$43.18
Sunburg 	100	$25,134	$25,365	$231	0.92%	$253.65	$2.31
Sunfish Lake 	521	$0	$0	$0	0.00%	$0.00	$0.00
Swanville 	350	$85,817	$90,258	$4,441	5.17%	$257.88	$12.69
Taconite 	360	$92,714	$92,714	$0	0.00%	$257.54	$0.00
Tamarack 	94	$15,076	$16,030	$954	6.33%	$170.53	$10.15
Taopi 	58	$9,097	$9,682	$585	6.43%	$166.93	$10.09
Taunton 	139	$43,070	$43,070	$0	0.00%	$309.86	$0.00
Taylors Falls 	976	$156,385	$170,971	$14,586	9.33%	$175.18	$14.94
Tenstrike 	201	$2,960	$6,041	$3,081	104.09%	$30.05	$15.33
Thief River Falls 	8,573	$2,418,906	$2,892,050	$473,144	19.56%	$337.34	$55.19
Thomson 	159	$9,022	$9,022	$0	0.00%	$56.74	$0.00
Tintah 	63	$11,846	$12,469	$623	5.26%	$197.92	$9.89
Tonka Bay 	1,475	$0	$0	$0	0.00%	$0.00	$0.00
Tower 	500	$80,156	$87,686	$7,530	9.39%	$175.37	$15.06
Tracy 	2,163	$859,170	$908,239	$49,069	5.71%	$419.90	$22.69
Trail 	46	$2,350	$2,350	$0	0.00%	$51.09	$0.00
Trimont 	747	$218,148	$247,830	$29,682	13.61%	$331.77	$39.73
Trommald 	98	$6,968	$6,968	$0	0.00%	$71.10	$0.00
Trosky 	86	$18,940	$18,940	$0	0.00%	$220.23	$0.00
Truman 	1,115	$392,748	$415,714	$22,966	5.85%	$372.84	$20.60
Turtle River 	77	$0	$0	$0	0.00%	$0.00	$0.00
Twin Lakes 	151	$26,141	$29,319	$3,178	12.16%	$194.17	$21.05
Twin Valley 	821	$269,231	$299,307	$30,076	11.17%	$364.56	$36.63
Two Harbors 	3,745	$1,107,828	$1,462,279	$354,451	32.00%	$390.46	$94.65
Tyler 	1,143	$387,654	$421,570	$33,916	8.75%	$368.83	$29.67
Ulen 	547	$138,006	$144,691	$6,685	4.84%	$264.52	$12.22
Underwood 	341	$70,902	$75,203	$4,301	6.07%	$220.54	$12.61
Upsala 	427	$64,069	$77,515	$13,446	20.99%	$181.53	$31.49
Urbank 	54	$6,744	$7,298	$554	8.21%	$135.15	$10.26
Utica 	291	$30,803	$37,986	$7,183	23.32%	$130.54	$24.68
Vadnais Heights 	12,302	$0	$24,636	$24,636	0.00%	$2.00	$2.00
Vergas 	331	$30,206	$33,072	$2,866	9.49%	$99.92	$8.66
Vermillion 	419	$5,649	$15,186	$9,537	168.83%	$36.24	$22.76
Verndale 	602	$130,357	$161,104	$30,747	23.59%	$267.61	$51.07
Vernon Center 	332	$66,020	$67,233	$1,213	1.84%	$202.51	$3.65
Vesta 	319	$82,326	$89,281	$6,955	8.45%	$279.88	$21.80
Victoria 	7,345	$0	$0	$0	0.00%	$0.00	$0.00
Viking 	104	$18,592	$21,717	$3,125	16.81%	$208.82	$30.05
Villard 	254	$36,658	$41,425	$4,767	13.00%	$163.09	$18.77
Vining 	78	$9,042	$9,988	$946	10.46%	$128.05	$12.13
Virginia 	8,712	$4,062,905	$4,936,348	$873,443	21.50%	$566.61	$100.26
Wabasha 	2,521	$584,751	$594,419	$9,668	1.65%	$235.79	$3.83
Wabasso 	696	$183,887	$210,319	$26,432	14.37%	$302.18	$37.98
Waconia 	10,697	$0	$76,521	$76,521	0.00%	$7.15	$7.15
Wadena 	4,088	$1,191,075	$1,506,184	$315,109	26.46%	$368.44	$77.08
Wahkon 	206	$0	$0	$0	0.00%	$0.00	$0.00
Waite Park 	6,715	$0	$0	$0	0.00%	$0.00	$0.00
Waldorf 	229	$41,621	$46,872	$5,251	12.62%	$204.68	$22.93
Walker 	941	$79,001	$79,001	$0	0.00%	$83.95	$0.00
Walnut Grove 	871	$225,413	$264,717	$39,304	17.44%	$303.92	$45.13
Walters 	73	$18,983	$20,063	$1,080	5.69%	$274.84	$14.79
Waltham 	151	$33,076	$33,295	$219	0.66%	$220.50	$1.45
Wanamingo 	1,086	$182,565	$227,213	$44,648	24.46%	$209.22	$41.11
Wanda 	84	$22,194	$22,781	$587	2.64%	$271.20	$6.99
Warba 	181	$12,403	$13,524	$1,121	9.04%	$74.72	$6.19
Warren 	1,563	$561,156	$603,253	$42,097	7.50%	$385.96	$26.93
Warroad 	1,781	$732,836	$882,836	$150,000	20.47%	$495.70	$84.22
Waseca 	9,410	$2,273,651	$2,631,156	$357,505	15.72%	$279.61	$37.99
Watertown 	4,205	$173,368	$299,619	$126,251	72.82%	$71.25	$30.02
Waterville 	1,868	$438,284	$472,254	$33,970	7.75%	$252.81	$18.19
Watkins 	962	$251,433	$285,957	$34,524	13.73%	$297.25	$35.89
Watson 	205	$59,458	$62,711	$3,253	5.47%	$305.91	$15.87
Waubun 	400	$93,242	$107,487	$14,245	15.28%	$268.72	$35.61
Waverly 	1,357	$82,979	$143,688	$60,709	73.16%	$105.89	$44.74
Wayzata 	3,688	$0	$0	$0	0.00%	$0.00	$0.00
Welcome 	686	$216,934	$217,709	$775	0.36%	$317.36	$1.13
Wells 	2,343	$893,883	$927,217	$33,334	3.73%	$395.74	$14.23
Wendell 	167	$34,022	$35,761	$1,739	5.11%	$214.14	$10.41
West Concord 	782	$261,011	$283,648	$22,637	8.67%	$362.72	$28.95
West St. Paul 	19,540	$773,763	$1,153,343	$379,580	49.06%	$59.02	$19.43
West Union 	111	$6,713	$11,834	$5,121	76.28%	$106.61	$46.14
Westbrook 	739	$230,048	$259,732	$29,684	12.90%	$351.46	$40.17
Westport 	57	$5,951	$7,368	$1,417	23.81%	$129.26	$24.86
Whalan 	63	$8,001	$8,001	$0	0.00%	$127.00	$0.00
Wheaton 	1,424	$562,909	$581,819	$18,910	3.36%	$408.58	$13.28
White Bear Lake 	23,797	$1,532,448	$1,532,448	$0	0.00%	$64.40	$0.00
Wilder 	60	$16,106	$16,106	$0	0.00%	$268.43	$0.00
Willernie 	507	$75,922	$78,239	$2,317	3.05%	$154.32	$4.57
Williams 	191	$41,672	$43,738	$2,066	4.96%	$228.99	$10.82
Willmar 	19,610	$4,052,790	$4,439,722	$386,932	9.55%	$226.40	$19.73
Willow River 	415	$45,572	$58,703	$13,131	28.81%	$141.45	$31.64
Wilmont 	339	$86,327	$92,678	$6,351	7.36%	$273.39	$18.73
Wilton 	204	$7,670	$14,127	$6,457	84.19%	$69.25	$31.65
Windom 	4,646	$1,202,917	$1,418,008	$215,091	17.88%	$305.21	$46.30
Winger 	220	$33,075	$40,385	$7,310	22.10%	$183.57	$33.23
Winnebago 	1,437	$503,310	$524,077	$20,767	4.13%	$364.70	$14.45
Winona 	27,592	$9,162,003	$9,699,982	$537,979	5.87%	$351.55	$19.50
Winsted 	2,355	$547,848	$628,521	$80,673	14.73%	$266.89	$34.26
Winthrop 	1,399	$393,587	$413,498	$19,911	5.06%	$295.57	$14.23
Winton 	172	$24,869	$27,875	$3,006	12.09%	$162.06	$17.48
Wolf Lake 	57	$8,042	$9,654	$1,612	20.04%	$169.37	$28.28
Wolverton 	142	$24,318	$27,029	$2,711	11.15%	$190.35	$19.09
Wood Lake 	439	$108,208	$119,766	$11,558	10.68%	$272.82	$26.33
Woodbury 	61,961	$0	$0	$0	0.00%	$0.00	$0.00
Woodland 	437	$0	$0	$0	0.00%	$0.00	$0.00
Woodstock 	124	$32,442	$32,906	$464	1.43%	$265.37	$3.74
Worthington 	12,764	$2,705,107	$3,109,584	$404,477	14.95%	$243.62	$31.69
Wrenshall 	399	$42,399	$49,695	$7,296	17.21%	$124.55	$18.29
Wright 	127	$7,938	$11,153	$3,215	40.50%	$87.82	$25.31
Wykoff 	444	$118,215	$126,862	$8,647	7.31%	$285.73	$19.48
Wyoming 	7,791	$0	$170,792	$170,792	0.00%	$21.92	$21.92
Zemple 	93	$742	$3,552	$2,810	378.71%	$38.19	$30.22
Zimmerman 	5,228	$235,842	$445,581	$209,739	88.93%	$85.23	$40.12
Zumbro Falls 	207	$34,610	$35,688	$1,078	3.11%	$172.41	$5.21
Zumbrota 	3,252	$426,975	$552,674	$125,699	29.44%	$169.95	$38.65
