City,yr2013,yr2014,Difference,PctChg,GEO.display-label,Population,PopHuman,GEO.id,GEO.id2,2014pclga,2014pcincrease,m2013,m2014,mdifference,mpctchg,mpclga,mpcincrease
BISCAY,"$12,234.00","$16,049.00","$3,815.00",31.18%,Biscay ,113,113,1600000US2706112,2706112,$142.03,$33.76,12234,16049,3815,.3118,142.03,33.76
BIWABIK,"$263,385.00","$263,385.00",$0.00,0.00%,Biwabik ,969,969,1600000US2706148,2706148,$271.81,$0.00,263385,263385,0,.0000,271.81,0.00
BLACKDUCK,"$205,021.00","$238,786.00","$33,765.00",16.47%,Blackduck ,785,785,1600000US2706256,2706256,$304.19,$43.01,205021,238786,33765,.1647,304.19,43.01
BLAINE,$0.00,$0.00,$0.00,0.00%,Blaine ,57186,"57,186",1600000US2706382,2706382,$0.00,$0.00,0,0,0,.0000,0.00,0.00
BLOMKEST,"$16,533.00","$19,001.00","$2,468.00",14.93%,Blomkest ,157,157,1600000US2706490,2706490,$121.03,$15.72,16533,19001,2468,.1493,121.03,15.72
BLOOMING PRAIRIE,"$647,677.00","$695,250.00","$47,573.00",7.35%,Blooming Prairie ,1996,"1,996",1600000US2706580,2706580,$348.32,$23.83,647677,695250,47573,.0735,348.32,23.83
BLOOMINGTON,$0.00,"$403,952.00","$403,952.00",0.00%,Bloomington ,82893,"82,893",1600000US2706616,2706616,$4.87,$4.87,0,403952,403952,.0000,4.87,4.87
BLUE EARTH,"$1,535,819.00","$1,774,258.00","$238,439.00",15.53%,Blue Earth ,3353,"3,353",1600000US2706688,2706688,$529.16,$71.11,1535819,1774258,238439,.1553,529.16,71.11
BLUFFTON,"$32,101.00","$36,202.00","$4,101.00",12.78%,Bluffton ,207,207,1600000US2706778,2706778,$174.89,$19.81,32101,36202,4101,.1278,174.89,19.81
BOCK,"$15,437.00","$16,169.00",$732.00,4.74%,Bock ,106,106,1600000US2706814,2706814,$152.54,$6.91,15437,16169,732,.0474,152.54,6.91
BORUP,"$17,772.00","$20,957.00","$3,185.00",17.92%,Borup ,110,110,1600000US2707030,2707030,$190.52,$28.95,17772,20957,3185,.1792,190.52,28.95
BOVEY,"$251,002.00","$274,751.00","$23,749.00",9.46%,Bovey ,804,804,1600000US2707048,2707048,$341.73,$29.54,251002,274751,23749,.0946,341.73,29.54
BOWLUS,"$36,888.00","$48,049.00","$11,161.00",30.26%,Bowlus ,290,290,1600000US2707066,2707066,$165.69,$38.49,36888,48049,11161,.3026,165.69,38.49
BOY RIVER,"$4,648.00","$6,722.00","$2,074.00",44.62%,Boy River ,47,47,1600000US2707174,2707174,$143.02,$44.13,4648,6722,2074,.4462,143.02,44.13
BOYD,"$65,766.00","$65,766.00",$0.00,0.00%,Boyd ,175,175,1600000US2707138,2707138,$375.81,$0.00,65766,65766,0,.0000,375.81,0.00
BRAHAM,"$465,196.00","$549,408.00","$84,212.00",18.10%,Braham ,1793,"1,793",1600000US2707282,2707282,$306.42,$46.97,465196,549408,84212,.1810,306.42,46.97
BRAINERD,"$3,637,320.00","$4,019,533.00","$382,213.00",10.51%,Brainerd ,13590,"13,590",1600000US2707300,2707300,$295.77,$28.12,3637320,4019533,382213,.1051,295.77,28.12
BRANDON,"$86,841.00","$99,766.00","$12,925.00",14.88%,Brandon ,489,489,1600000US2707336,2707336,$204.02,$26.43,86841,99766,12925,.1488,204.02,26.43
BRECKENRIDGE,"$1,168,004.00","$1,444,433.00","$276,429.00",23.67%,Breckenridge ,3386,"3,386",1600000US2707462,2707462,$426.59,$81.64,1168004,1444433,276429,.2367,426.59,81.64
BREEZY POINT,$0.00,$0.00,$0.00,0.00%,Breezy Point ,2346,"2,346",1600000US2707516,2707516,$0.00,$0.00,0,0,0,.0000,0.00,0.00
BREWSTER,"$180,836.00","$180,836.00",$0.00,0.00%,Brewster ,473,473,1600000US2707660,2707660,$382.32,$0.00,180836,180836,0,.0000,382.32,0.00
BRICELYN,"$122,801.00","$127,624.00","$4,823.00",3.93%,Bricelyn ,365,365,1600000US2707678,2707678,$349.65,$13.21,122801,127624,4823,.0393,349.65,13.21
BROOK PARK,"$17,784.00","$20,633.00","$2,849.00",16.02%,Brook Park ,139,139,1600000US2707984,2707984,$148.44,$20.50,17784,20633,2849,.1602,148.44,20.50
BROOKLYN CENTER,"$411,378.00","$1,352,440.00","$941,062.00",228.76%,Brooklyn Center ,30104,"30,104",1600000US2707948,2707948,$44.93,$31.26,411378,1352440,941062,2.2876,44.93,31.26
BROOKLYN PARK,$0.00,"$1,022,553.00","$1,022,553.00",0.00%,Brooklyn Park ,75781,"75,781",1600000US2707966,2707966,$13.49,$13.49,0,1022553,1022553,.0000,13.49,13.49
BROOKS,"$28,524.00","$30,220.00","$1,696.00",5.95%,Brooks ,141,141,1600000US2708038,2708038,$214.33,$12.03,28524,30220,1696,.0595,214.33,12.03
