City;$2,013;$2,014;Difference;%Chg;GEO.display-label;Pophuman;Population;GEO.id;GEO.id2;2014pclga;2014pcincrease
BINGHAM LAKE;$26,063;$26,063;$0;0.00%;Bingham Lake ;126;126;1600000US2705896;2705896;$206.85;$0.00
BIRCHWOOD;$0;$0;$0;0.00%;Birchwood Village ;870;870;1600000US2706058;2706058;$0.00;$0.00
BIRD ISLAND;$370,344;$388,606;$18,262;4.93%;Bird Island ;1,042;1042;1600000US2706076;2706076;$372.94;$17.53
BISCAY;$12,234;$16,049;$3,815;31.18%;Biscay ;113;113;1600000US2706112;2706112;$142.03;$33.76
BIWABIK;$263,385;$263,385;$0;0.00%;Biwabik ;969;969;1600000US2706148;2706148;$271.81;$0.00
BLACKDUCK;$205,021;$238,786;$33,765;16.47%;Blackduck ;785;785;1600000US2706256;2706256;$304.19;$43.01
BLAINE;$0;$0;$0;0.00%;Blaine ;57,186;57186;1600000US2706382;2706382;$0.00;$0.00
BLOMKEST;$16,533;$19,001;$2,468;14.93%;Blomkest ;157;157;1600000US2706490;2706490;$121.03;$15.72
BLOOMING PRAIRIE;$647,677;$695,250;$47,573;7.35%;Blooming Prairie ;1,996;1996;1600000US2706580;2706580;$348.32;$23.83
BLOOMINGTON;$0;$403,952;$403,952;0.00%;Bloomington ;82,893;82893;1600000US2706616;2706616;$4.87;$4.87
BLUE EARTH;$1,535,819;$1,774,258;$238,439;15.53%;Blue Earth ;3,353;3353;1600000US2706688;2706688;$529.16;$71.11
BLUFFTON;$32,101;$36,202;$4,101;12.78%;Bluffton ;207;207;1600000US2706778;2706778;$174.89;$19.81
BOCK;$15,437;$16,169;$732;4.74%;Bock ;106;106;1600000US2706814;2706814;$152.54;$6.91
BORUP;$17,772;$20,957;$3,185;17.92%;Borup ;110;110;1600000US2707030;2707030;$190.52;$28.95
BOVEY;$251,002;$274,751;$23,749;9.46%;Bovey ;804;804;1600000US2707048;2707048;$341.73;$29.54
BOWLUS;$36,888;$48,049;$11,161;30.26%;Bowlus ;290;290;1600000US2707066;2707066;$165.69;$38.49
BOY RIVER;$4,648;$6,722;$2,074;44.62%;Boy River ;47;47;1600000US2707174;2707174;$143.02;$44.13
BOYD;$65,766;$65,766;$0;0.00%;Boyd ;175;175;1600000US2707138;2707138;$375.81;$0.00
BRAHAM;$465,196;$549,408;$84,212;18.10%;Braham ;1,793;1793;1600000US2707282;2707282;$306.42;$46.97
BRAINERD;$3,637,320;$4,019,533;$382,213;10.51%;Brainerd ;13,590;13590;1600000US2707300;2707300;$295.77;$28.12
BRANDON;$86,841;$99,766;$12,925;14.88%;Brandon ;489;489;1600000US2707336;2707336;$204.02;$26.43
BRECKENRIDGE;$1,168,004;$1,444,433;$276,429;23.67%;Breckenridge ;3,386;3386;1600000US2707462;2707462;$426.59;$81.64
BREEZY POINT;$0;$0;$0;0.00%;Breezy Point ;2,346;2346;1600000US2707516;2707516;$0.00;$0.00
BREWSTER;$180,836;$180,836;$0;0.00%;Brewster ;473;473;1600000US2707660;2707660;$382.32;$0.00
BRICELYN;$122,801;$127,624;$4,823;3.93%;Bricelyn ;365;365;1600000US2707678;2707678;$349.65;$13.21
BROOK PARK;$17,784;$20,633;$2,849;16.02%;Brook Park ;139;139;1600000US2707984;2707984;$148.44;$20.50
BROOKLYN CENTER;$411,378;$1,352,440;$941,062;228.76%;Brooklyn Center ;30,104;30104;1600000US2707948;2707948;$44.93;$31.26
BROOKLYN PARK;$0;$1,022,553;$1,022,553;0.00%;Brooklyn Park ;75,781;75781;1600000US2707966;2707966;$13.49;$13.49
BROOKS;$28,524;$30,220;$1,696;5.95%;Brooks ;141;141;1600000US2708038;2708038;$214.33;$12.03
BROOKSTON;$6,665;$11,105;$4,440;66.62%;Brookston ;141;141;1600000US2708056;2708056;$78.76;$31.49
BROOTEN;$138,694;$170,026;$31,332;22.59%;Brooten ;743;743;1600000US2708092;2708092;$228.84;$42.17
BROWERVILLE;$206,697;$237,344;$30,647;14.83%;Browerville ;790;790;1600000US2708110;2708110;$300.44;$38.79
BROWNS VALLEY;$357,430;$357,430;$0;0.00%;Browns Valley ;589;589;1600000US2708200;2708200;$606.84;$0.00
BROWNSDALE;$168,304;$199,429;$31,125;18.49%;Brownsdale ;676;676;1600000US2708164;2708164;$295.01;$46.04
BROWNSVILLE;$58,162;$65,698;$7,536;12.96%;Brownsville ;466;466;1600000US2708218;2708218;$140.98;$16.17
BROWNTON;$230,476;$264,771;$34,295;14.88%;Brownton ;762;762;1600000US2708254;2708254;$347.47;$45.01
BRUNO;$17,945;$18,404;$459;2.56%;Bruno ;102;102;1600000US2708290;2708290;$180.43;$4.50
BUCKMAN;$18,509;$28,599;$10,090;54.51%;Buckman ;270;270;1600000US2708416;2708416;$105.92;$37.37
BUFFALO;$145,886;$636,274;$490,388;336.14%;Buffalo ;15,453;15453;1600000US2708452;2708452;$41.17;$31.73
