GEO.id,GEO.id2,GEO.display-label,D001
1600000US2712502,2712502,"Coleraine city, Minnesota",1970
1600000US2712664,2712664,"Cologne city, Minnesota",1519
1600000US2712700,2712700,"Columbia Heights city, Minnesota",19496
1600000US2712718,2712718,"Columbus city, Minnesota",3914
1600000US2712772,2712772,"Comfrey city, Minnesota",382
1600000US2712862,2712862,"Comstock city, Minnesota",93
1600000US2712952,2712952,"Conger city, Minnesota",146
1600000US2713006,2713006,"Cook city, Minnesota",574
1600000US2713114,2713114,"Coon Rapids city, Minnesota",61476
1600000US2713168,2713168,"Corcoran city, Minnesota",5379
1600000US2713384,2713384,"Correll city, Minnesota",34
1600000US2713420,2713420,"Cosmos city, Minnesota",473
1600000US2713456,2713456,"Cottage Grove city, Minnesota",34589
1600000US2713564,2713564,"Cottonwood city, Minnesota",1212
1600000US2713582,2713582,"Courtland city, Minnesota",611
1600000US2713780,2713780,"Cromwell city, Minnesota",234
1600000US2713870,2713870,"Crookston city, Minnesota",7891
1600000US2713924,2713924,"Crosby city, Minnesota",2386
1600000US2713978,2713978,"Crosslake city, Minnesota",2141
1600000US2714158,2714158,"Crystal city, Minnesota",22151
1600000US2714320,2714320,"Currie city, Minnesota",233
1600000US2714428,2714428,"Cuyuna city, Minnesota",332
1600000US2714446,2714446,"Cyrus city, Minnesota",288
1600000US2714518,2714518,"Dakota city, Minnesota",323
1600000US2714626,2714626,"Dalton city, Minnesota",253
1600000US2714716,2714716,"Danube city, Minnesota",505
1600000US2714734,2714734,"Danvers city, Minnesota",97
1600000US2714770,2714770,"Darfur city, Minnesota",108
1600000US2714842,2714842,"Darwin city, Minnesota",350
1600000US2714878,2714878,"Dassel city, Minnesota",1469
1600000US2714968,2714968,"Dawson city, Minnesota",1540
1600000US2715022,2715022,"Dayton city, Minnesota",4671
1600000US2715148,2715148,"Deephaven city, Minnesota",3642
1600000US2715184,2715184,"Deer Creek city, Minnesota",322
1600000US2715310,2715310,"Deer River city, Minnesota",930
1600000US2715346,2715346,"Deerwood city, Minnesota",532
1600000US2715418,2715418,"De Graff city, Minnesota",115
1600000US2715454,2715454,"Delano city, Minnesota",5464
1600000US2715472,2715472,"Delavan city, Minnesota",179
1600000US2715544,2715544,"Delhi city, Minnesota",70
1600000US2715616,2715616,"Dellwood city, Minnesota",1063(r23794)
1600000US2715670,2715670,"Denham city, Minnesota",35
1600000US2715706,2715706,"Dennison city, Minnesota",212
1600000US2715724,2715724,"Dent city, Minnesota",192
1600000US2715832,2715832,"Detroit Lakes city, Minnesota",8569
1600000US2715886,2715886,"Dexter city, Minnesota",341
1600000US2715976,2715976,"Dilworth city, Minnesota",4024
1600000US2715994,2715994,"Dodge Center city, Minnesota",2670
1600000US2716030,2716030,"Donaldson city, Minnesota",42
1600000US2716084,2716084,"Donnelly city, Minnesota",241
1600000US2716156,2716156,"Doran city, Minnesota",55
1600000US2716264,2716264,"Dover city, Minnesota",735
1600000US2716300,2716300,"Dovray city, Minnesota",57
1600000US2717000,2717000,"Duluth city, Minnesota",86265
1600000US2717090,2717090,"Dumont city, Minnesota",100
1600000US2717126,2717126,"Dundas city, Minnesota",1367
1600000US2717144,2717144,"Dundee city, Minnesota",68
1600000US2717180,2717180,"Dunnell city, Minnesota",167
1600000US2717288,2717288,"Eagan city, Minnesota",64206
1600000US2717342,2717342,"Eagle Bend city, Minnesota",535
1600000US2717378,2717378,"Eagle Lake city, Minnesota",2422
1600000US2717486,2717486,"East Bethel city, Minnesota",11626
1600000US2717612,2717612,"East Grand Forks city, Minnesota",8601
1600000US2717630,2717630,"East Gull Lake city, Minnesota",1004
1600000US2717738,2717738,"Easton city, Minnesota",199
1600000US2717882,2717882,"Ebro CDP, Minnesota",64
1600000US2717900,2717900,"Echo city, Minnesota",278
1600000US2718116,2718116,"Eden Prairie city, Minnesota",60797
1600000US2718134,2718134,"Eden Valley city, Minnesota",1042
1600000US2718152,2718152,"Edgerton city, Minnesota",1189
1600000US2718188,2718188,"Edina city, Minnesota",47941
1600000US2718260,2718260,"Effie city, Minnesota",123
1600000US2718368,2718368,"Eitzen city, Minnesota",243
1600000US2718386,2718386,"Elba city, Minnesota",152
1600000US2718440,2718440,"Elbow Lake CDP, Minnesota",95
1600000US2718458,2718458,"Elbow Lake city, Minnesota",1176
1600000US2718530,2718530,"Elgin city, Minnesota",1089
1600000US2718566,2718566,"Elizabeth city, Minnesota",173
1600000US2718662,2718662,"Elko New Market city, Minnesota",4110
1600000US2718674,2718674,"Elk River city, Minnesota",22974
1600000US2718728,2718728,"Elkton city, Minnesota",141
1600000US2718746,2718746,"Ellendale city, Minnesota",691
1600000US2718836,2718836,"Ellsworth city, Minnesota",463
1600000US2718872,2718872,"Elmdale city, Minnesota",116
1600000US2718998,2718998,"Elmore city, Minnesota",663
